Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec),,,,,MEAN ACCESS TIME,,585.5729263
1104,42:23.1,53:39.1,675.969,,,,,,,
1105,16:19.4,27:55.9,696.461,,,,,,,
1106,50:09.5,00:46.9,637.447,,,,,,,
1107,23:35.6,32:51.0,555.336,,,,,,,
1108,56:17.0,05:03.2,526.118,,,,,,,
1109,28:20.0,38:01.8,581.798,,,,,,,
1110,00:34.8,11:38.6,663.88,,,,,,,
1111,33:51.9,45:32.6,700.682,,,,,,,
1112,08:45.6,19:27.3,641.732,,,,,,,
1113,45:55.9,52:56.8,420.918,,,,,,,
1114,50:02.3,57:51.7,469.442,,,,,,,
1115,23:39.2,34:37.5,658.295,,,,,,,
1116,57:34.8,09:15.0,700.184,,,,,,,
1117,31:27.4,42:20.6,653.216,,,,,,,
1118,05:00.0,14:30.0,569.975,,,,,,,
1119,37:51.4,46:36.1,524.69,,,,,,,
1120,09:58.9,19:24.9,565.953,,,,,,,
1121,42:06.7,52:55.9,649.2,,,,,,,
1122,15:08.3,26:47.9,699.536,,,,,,,
1123,49:40.3,00:43.8,663.451,,,,,,,
1124,26:17.8,34:22.8,484.916,,,,,,,
1125,31:29.6,38:11.1,401.511,,,,,,,
1126,04:55.8,15:30.8,635.064,,,,,,,
1127,38:50.1,50:30.5,700.373,,,,,,,
1128,12:44.5,23:51.9,667.441,,,,,,,
1129,46:22.7,56:08.9,586.16,,,,,,,
1130,19:23.8,28:11.0,527.125,,,,,,,
1131,51:37.9,00:49.7,551.835,,,,,,,
1132,23:40.9,34:14.0,633.113,,,,,,,
1133,56:28.4,08:03.3,694.944,,,,,,,
1134,30:39.9,41:59.7,679.756,,,,,,,
1135,06:48.3,15:45.0,536.73,,,,,,,
1136,13:04.6,18:17.8,313.131,,,,,,,
1137,46:13.2,56:18.9,605.665,,,,,,,
1138,20:05.4,31:42.0,696.667,,,,,,,
1139,54:01.0,05:20.6,679.663,,,,,,,
1140,27:43.9,37:47.1,603.212,,,,,,,
