Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec),,,,,MEAN ACCESS TIME,,585.5729263
169,16:20.8,27:56.2,695.429,,,,,,,
170,50:16.6,01:38.4,681.828,,,,,,,
171,24:00.4,34:07.1,606.636,,,,,,,
172,57:12.5,06:07.3,534.845,,,,,,,
173,29:36.5,38:34.5,538.007,,,,,,,
174,01:36.8,11:49.4,612.607,,,,,,,
175,34:09.3,45:34.6,685.33,,,,,,,
176,07:57.8,19:30.7,692.88,,,,,,,
177,43:34.4,53:21.2,586.742,,,,,,,
178,22:04.5,26:14.1,249.651,,,,,,,
179,51:31.1,53:47.5,136.319,,,,,,,
180,23:48.2,33:09.3,561.067,,,,,,,
181,57:36.2,09:02.8,686.591,,,,,,,
182,31:32.5,43:03.6,691.073,,,,,,,
183,05:20.1,15:44.0,623.844,,,,,,,
184,38:40.3,47:45.3,544.996,,,,,,,
185,11:13.7,20:03.7,529.952,,,,,,,
186,43:14.5,53:09.9,595.365,,,,,,,
187,15:36.5,26:50.8,674.385,,,,,,,
188,49:07.1,00:46.0,698.851,,,,,,,
189,24:19.4,34:39.3,619.841,,,,,,,
190,02:00.5,07:57.1,356.653,,,,,,,
191,05:09.1,13:43.8,514.684,,,,,,,
192,38:51.9,50:04.9,673.053,,,,,,,
193,12:48.1,24:25.6,697.423,,,,,,,
194,46:38.7,57:19.2,640.486,,,,,,,
195,20:06.2,29:24.1,557.884,,,,,,,
196,52:49.5,01:35.0,525.448,,,,,,,
197,24:53.1,34:31.8,578.623,,,,,,,
198,57:06.4,08:07.6,661.19,,,,,,,
199,30:20.5,42:01.2,700.755,,,,,,,
200,05:09.9,15:56.3,646.352,,,,,,,
201,42:13.6,49:28.0,434.347,,,,,,,
202,46:32.8,54:10.6,457.834,,,,,,,
203,20:08.0,31:02.4,654.371,,,,,,,
204,54:03.5,05:44.0,700.503,,,,,,,
205,27:56.4,38:52.5,656.018,,,,,,,
206,01:30.3,11:03.1,572.881,,,,,,,
207,34:23.5,43:08.3,524.762,,,,,,,
208,06:32.2,15:55.2,563.04,,,,,,,
209,38:38.8,49:25.0,646.199,,,,,,,
210,11:37.6,23:16.5,698.915,,,,,,,
211,46:05.6,57:12.6,666.978,,,,,,,
212,22:37.4,30:53.0,495.696,,,,,,,
213,28:01.1,34:27.9,386.804,,,,,,,
214,01:24.7,11:54.8,630.036,,,,,,,
215,35:18.8,46:58.7,699.978,,,,,,,
216,09:13.4,20:23.3,669.909,,,,,,,
217,42:52.6,52:41.9,589.294,,,,,,,
218,15:55.6,24:43.5,527.923,,,,,,,
219,48:11.1,57:20.4,549.328,,,,,,,
220,20:13.4,30:43.3,629.891,,,,,,,
221,52:58.3,04:32.0,693.697,,,,,,,
222,27:06.1,38:28.4,682.309,,,,,,,
